#Symbol,Side,Venue,Price,Qty
EUR/USD,Bid,FX_HOTSPOT_FIRM,1.15143,1000000
EUR/USD,Bid,FX_HOTSPOT_FIRM,1.15136,1000000
EUR/USD,Bid,FX_HOTSPOT_FIRM,1.15135,1000000
EUR/USD,Bid,FX_HOTSPOT_FIRM,1.15129,2000000
EUR/USD,Bid,FX_HOTSPOT_FIRM,1.15128,1000000
EUR/USD,Bid,FX_HOTSPOT_FIRM,1.15126,5000000
EUR/USD,Bid,FX_HOTSPOT_FIRM,1.15125,1000000
EUR/USD,Bid,FX_HOTSPOT_FIRM,1.15124,1000000
EUR/USD,Bid,FX_HOTSPOT_FIRM,1.15123,2000000
EUR/USD,Bid,FX_HOTSPOT_FIRM,1.15122,1000000
EUR/USD,Ask,FX_HOTSPOT_FIRM,1.15162,1000000
EUR/USD,Ask,FX_HOTSPOT_FIRM,1.15168,2000000
EUR/USD,Ask,FX_HOTSPOT_FIRM,1.15172,1000000
EUR/USD,Ask,FX_HOTSPOT_FIRM,1.1518,3000000
EUR/USD,Ask,FX_HOTSPOT_FIRM,1.15181,1000000
EUR/USD,Ask,FX_HOTSPOT_FIRM,1.15182,2000000
EUR/USD,Ask,FX_HOTSPOT_FIRM,1.15183,1000000
EUR/USD,Ask,FX_HOTSPOT_FIRM,1.15184,6000000
EUR/USD,Ask,FX_HOTSPOT_FIRM,1.1519,2000000
EUR/USD,Ask,FX_HOTSPOT_FIRM,1.15203,1000000
